,Time_BRAZIL-GDP,Returns_BRAZIL-GDP
0,2013-01-01,0.027723289455867217
1,2013-04-01,0.03857566268736701
2,2013-07-01,0.015631745691695897
3,2013-10-01,0.02462925930073112
4,2014-01-01,0.02784700856708433
5,2014-04-01,0.005687618464042643
6,2014-07-01,0.0194153928456009
7,2014-10-01,0.012420824395002583
8,2015-01-01,0.009249011080391334
9,2015-04-01,-0.00040328001621947607
10,2015-07-01,0.011563140567035113
11,2015-10-01,0.010181906145120045
12,2016-01-01,0.007144526179109434
13,2016-04-01,0.020748570977468184
14,2016-07-01,0.008218438892977353
15,2016-10-01,0.012860291973341376
16,2017-01-01,0.019722792615337603
17,2017-04-01,0.009899860858936904
18,,
